,date,content
120,2022-10-30 12:47:10+00:00,"Agreed that no one should have to face such humiliation but where was this anger when under your government NAB picked up innocent people in their 70’s, one whose body was chained to the bed after he died of a heart attack from the stress of being wrongfully accused? https://t.co/8vNl0qay6s"
121,2022-10-30 12:40:57+00:00,"Don't be surprised guys this team also collapsed against our bowling attack excluding Kohli.

Same happened today excluding SKY."
122,2022-10-30 12:40:41+00:00,"South African bowling attack and Pakistani pace attack exposed Indian batting 🔥
#INDvsSA || #T20WorldCup"
123,2022-10-30 12:38:38+00:00,@charsau20 So you mean Indian bowling attack is poorer than Zimbabweans? ;)
124,2022-10-30 12:36:49+00:00,Clear difference between suryakumar yadav and Muhammad rizwan plus other Pakistani batsman . Yadav was playing perhaps the 2 nd best bowling attack in the world and they were under extreme pressure . How well he managed his run rate and release the pressure . Dnt be #selfish
125,2022-10-30 12:24:38+00:00,India might just pull a win here against this South African pace attack but hum kese jheetain ge? #T20WorldCup
126,2022-10-30 12:16:21+00:00,Let's be realistic with this batting lime-up and approach can we play against this SA bowling attack? We have pace and the have pace and experience.
127,2022-10-30 12:14:55+00:00,"@ahsanzawar Man he isn't, trust me. But he hasn't yet proved himself on such a big stage vs quality pace attack in difficult conditions. He is doing this at the moment"
128,2022-10-30 12:03:30+00:00,"@abdulahadjawaid @bluemagicboxes In Nottingham, one of best batting track, feasted on Livingstone basically. hHasn't yet proved himself against quality pace attack in difficult conditions, and I am absolutely sure he has the ability but my point is, hasn't done yet. Really hoping he does in this match"
129,2022-10-30 11:54:04+00:00,@Aisha_shabbir Ap bowling attack check karain or ye sochain k hum ne abi in ko face karna hai
130,2022-10-30 11:45:18+00:00,Temba on all-out attack 🔥🔥
131,2022-10-30 11:45:12+00:00,Socho apne Batsman ka kia bhane ga is bowling attack k saamne
132,2022-10-30 11:43:15+00:00,That Pace attack 🔥🔥🔥
133,2022-10-30 11:42:33+00:00,"Can we cancel our match against South Africa, bas keh dain k dar lag raha hai is liye nai khelna. This pace attack is brutal.

#T20WorldCup #INDvSA"
134,2022-10-30 11:42:15+00:00,"Not reaching the next stage having the pace attack of Shaheen, Haris, Naseem and Wasim... will haunt us forever."
135,2022-10-30 11:40:35+00:00,@moaviayaqub777 How our batsmen gonna play against this bowling attack next Sunday ?? 🥲
136,2022-10-30 11:36:44+00:00,Okay. How will Pakistan face this South Africa pace attack?
137,2022-10-30 11:36:00+00:00,"Even if they Loose today, There is no point we will win against this pace attack"
138,2022-10-30 11:29:22+00:00,@ashaqeens Or ye b dekho k south africa ne abi tak fastesg bowling attack nh khela poore tournament me. Unka pehla test hu Pakistan k sath hoga. Fast bowling ka
139,2022-10-30 11:28:18+00:00,"Considering SA bowling attack and Pak spineless batting. I hope SA win today for false hopes hurt more than actual defeat.
#INDvsSA"
140,2022-10-30 11:26:27+00:00,"@Sportskeeda The world can't bear another heart attack.😂
So, as a Pakistani fan, I choose the Blue one"
